feature,coefficient,abs_coefficient
num__x_progress,-1.1660669163118815,1.1660669163118815
player_ctx__8cbqpjojozpalklx15jxjfii2__attacking_half,-1.0298255163950292,1.0298255163950292
cat__player_id_model_62t33iujzj96j2mtwi1w893l6,-0.9803260560876672,0.9803260560876672
player_ctx__3n8lo5wm0i7sh0h92abx87hm1__forward,0.9330338158049231,0.9330338158049231
num__end_x,-0.9193827097748772,0.9193827097748772
cat__player_id_model_5ujoracvgg00kzd0a8rh8oa1h,0.9184129657660787,0.9184129657660787
cat__player_id_model_cu3a4pb4a9g6d0qir3oakd46i,0.8839907952586443,0.8839907952586443
cat__player_id_model_5m27f84vvraap8bmfujt1qiok,-0.8764267272106,0.8764267272106
player_ctx__7d57au4z5cuxc5k6tu6qgp94a__long,0.8594296196074918,0.8594296196074918
cat__player_id_model_8zzjxnppg44txae0mcs6r1ega,-0.8415711862178211,0.8415711862178211
player_ctx__6xam5bquregefbepxd9rwfdh__long,-0.826953573635459,0.826953573635459
cat__player_id_model_aka769o7p2oz9ads8n1vhu2ok,-0.8261070066545129,0.8261070066545129
player_ctx__62t33iujzj96j2mtwi1w893l6__forward,0.8148201685294761,0.8148201685294761
cat__player_id_model_4mab6p97p5t3w0fipzp22nxsl,-0.8017976551167442,0.8017976551167442
cat__player_id_model_3vuj1n0ee6cux1snam2655udw,0.7916025948405873,0.7916025948405873
player_ctx__er6z557ns3jcjhgrsbtmsn6s4__forward,0.7891443230692518,0.7891443230692518
player_ctx__8cbqpjojozpalklx15jxjfii2__late,-0.7767658275035402,0.7767658275035402
player_ctx__e8obxlbt6hg8p1nzrza33sx78__late,-0.741264699392417,0.741264699392417
player_ctx__49kmr0edzpkmo788p2kt60xzo__long,0.7401587947252619,0.7401587947252619
player_ctx__2gheip9j20aq9iisgxc16pses__long,0.7339496159674157,0.7339496159674157
player_ctx__daevawz3r1bzlhcbr7mj12h9l__attacking_half,-0.7240339611612369,0.7240339611612369
player_ctx__cmtcvsy5wgs03nvdomn1ijnpx__long,-0.7184357961029572,0.7184357961029572
player_ctx__drjbms71w0kt1pidq8q17h05w__long,-0.7126389962785175,0.7126389962785175
player_ctx__5j8jlykegiplbh3tr6zed88a1__long,0.7096542041980111,0.7096542041980111
cat__player_id_model_3y9nm18as1wxhizq3fyazb2t,-0.7056150968855595,0.7056150968855595
player_ctx__bp9cj8vjy70yygm99fwmoue0a__late,0.6998644390752963,0.6998644390752963
player_ctx__2lm0c7eiwntew7sdkdpwi02y1__forward,-0.6994211987326115,0.6994211987326115
player_ctx__7llweju6njarodz8azwbfwsbu__attacking_half,0.6784502898997468,0.6784502898997468
cat__player_id_model_6jox21ck8ox2q4mpoqikpbtd6,0.6782117294075595,0.6782117294075595
cat__player_id_model_3hg08mlhtmex3gjlsyz9ljpih,-0.6768150513826398,0.6768150513826398
cat__player_id_model_6uthi96vr24700st7s7m1so6i,-0.6755533445632456,0.6755533445632456
player_ctx__cmtcvsy5wgs03nvdomn1ijnpx__forward,0.6731686231770312,0.6731686231770312
player_ctx__jyh107tl6vv8bd1pgautj46h__long,-0.6713353699876765,0.6713353699876765
player_ctx__b28shtartb4rywo0utiaidawa__long,-0.6698879145987836,0.6698879145987836
player_ctx__3z37ancgteqhbhpygl0brzzdh__forward,0.6673305025173493,0.6673305025173493
player_ctx__77wkqbxkqix367lc0ccnym86h__forward,-0.665155373714573,0.665155373714573
player_ctx__bvw5oc4c040ey5dt5wn0choiy__attacking_half,-0.6641839438493077,0.6641839438493077
player_ctx__acffs01m2p3b4uemzjrp51d9m__long,-0.6592608334360327,0.6592608334360327
cat__player_id_model_drjbms71w0kt1pidq8q17h05w,-0.6485524903795383,0.6485524903795383
cat__player_id_model_do8nqlhvf43wmla5rakw1chsk,0.6478642632336953,0.6478642632336953
