dataset,player_id,player_name,team_id,attempts,completed,expected_completed,avg_xPass,player_pass_count,player_id_model,over_under_expected,raw_completion_rate
test,36u3tovqdi3885wk3139wczfu,L. Marijnissen,4dtif7outbuivua8umbwegoo5,404,335,317.01941978639024,0.7847015341247283,1176.0,36u3tovqdi3885wk3139wczfu,17.980580213609755,0.8292079207920792
test,jw8lb54ua2iufebwnu8k68t0,N. Mbamba,4dtif7outbuivua8umbwegoo5,256,219,202.12478549285711,0.7895499433314731,862.0,jw8lb54ua2iufebwnu8k68t0,16.875214507142886,0.85546875
test,4mvqt04u92wsm1p5ja8fpilii,Tiago Araújo,8y3iucyxguipljcmf87a11bk9,557,411,395.44195789708647,0.7099496551114658,1180.0,4mvqt04u92wsm1p5ja8fpilii,15.558042102913532,0.7378815080789947
test,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,7zibyotq1x1hq6pmgibhr0e6s,254,174,159.80079774027305,0.629136998977453,780.0,a0ecz4nlxrr62dcwixtmjiwyy,14.199202259726945,0.6850393700787402
test,3hg08mlhtmex3gjlsyz9ljpih,D. Haspolat,2nhn3ikl1ciq34w3hcp883d6p,149,120,106.0562641450538,0.7117870076849249,1364.0,3hg08mlhtmex3gjlsyz9ljpih,13.943735854946198,0.8053691275167785
test,dbfyqig1hbzbbzsdbtzyzg7pw,T. Koudou,b7jmo07lqav0wfe2mtlzyspak,395,306,292.27397338823755,0.7399341098436394,1189.0,dbfyqig1hbzbbzsdbtzyzg7pw,13.72602661176245,0.7746835443037975
test,1q935a1d9qmoyo7v6tstqx7je,K. Sabbe,1oyb7oym5nwzny8vxf03szd2h,212,188,174.30239966067649,0.822181130474889,1145.0,1q935a1d9qmoyo7v6tstqx7je,13.697600339323515,0.8867924528301887
test,7d57au4z5cuxc5k6tu6qgp94a,M. Konaté,b7jmo07lqav0wfe2mtlzyspak,281,266,253.4422849150002,0.9019298395551608,801.0,7d57au4z5cuxc5k6tu6qgp94a,12.557715084999813,0.9466192170818505
test,bz2k6xcfh9658rbaex82134yd,S. Juklerød,2989v3kho9h5jaboe1nr7lx21,117,91,78.61944256655,0.6719610475773505,456.0,bz2k6xcfh9658rbaex82134yd,12.380557433449994,0.7777777777777778
test,5x1a46c52byds4s3q2f0szuqy,E. Bayram,2nhn3ikl1ciq34w3hcp883d6p,171,152,139.83951096230038,0.8177749179081893,1481.0,5x1a46c52byds4s3q2f0szuqy,12.16048903769962,0.8888888888888888
test,7xohgebtjrdvhgamhfpp7w31m,M. Viltard,4dtif7outbuivua8umbwegoo5,248,194,182.2830649550994,0.735012358689917,830.0,7xohgebtjrdvhgamhfpp7w31m,11.716935044900595,0.782258064516129
test,be0ws51ws5cm9wzmcp3ozmklx,D. Roef,8y3iucyxguipljcmf87a11bk9,393,303,291.87701569726045,0.7426896073721639,1058.0,be0ws51ws5cm9wzmcp3ozmklx,11.122984302739553,0.7709923664122137
test,1e7snjsrbh93xt5ti1oyuqxka,A. Ait El Hadj,ecj1gmc7pqcjo4sc9hvghj5u3,140,123,111.95397527960446,0.7996712519971747,760.0,1e7snjsrbh93xt5ti1oyuqxka,11.046024720395536,0.8785714285714286
test,e5oet393vired282yco4i7gfd,D. Hashioka,8y3iucyxguipljcmf87a11bk9,66,51,40.05073263184026,0.6068292823006101,193.0,e5oet393vired282yco4i7gfd,10.949267368159738,0.7727272727272727
test,72ktbetrzo54vpcs518wcax62,M. Paskotši,8y3iucyxguipljcmf87a11bk9,522,466,455.252013643038,0.8721302943353219,1155.0,72ktbetrzo54vpcs518wcax62,10.747986356961974,0.89272030651341
test,91lauo7abmec10l3btcxt3d3o,S. Kotto,8y3iucyxguipljcmf87a11bk9,274,249,238.517585917448,0.8705021383848467,414.0,91lauo7abmec10l3btcxt3d3o,10.482414082551998,0.9087591240875912
test,1v75zo1ivju4o2xwgwn9az88a,A. Valencia,7zibyotq1x1hq6pmgibhr0e6s,83,73,63.2007763275914,0.7614551364770048,266.0,1v75zo1ivju4o2xwgwn9az88a,9.799223672408601,0.8795180722891566
test,l6y4o9t2b0jxaxo85oztok45,B. Mechele,1oyb7oym5nwzny8vxf03szd2h,302,289,279.32514205787305,0.9249176889333545,2136.0,l6y4o9t2b0jxaxo85oztok45,9.674857942126948,0.956953642384106
test,93mfx60imfs1lx341b3ae7wgk,K. Goto,2989v3kho9h5jaboe1nr7lx21,80,60,50.73453484093033,0.6341816855116291,380.0,93mfx60imfs1lx341b3ae7wgk,9.26546515906967,0.75
test,1hmy5uxiyr8g915tngl9l8twq,M. van Brederode,b7jmo07lqav0wfe2mtlzyspak,220,171,161.9380308103534,0.7360819582288791,720.0,1hmy5uxiyr8g915tngl9l8twq,9.06196918964659,0.7772727272727272
test,axbyqn4r430cilb6lbnzpbuvo,R. Van Helden,2989v3kho9h5jaboe1nr7lx21,216,192,182.94205303793456,0.846953949249697,1228.0,axbyqn4r430cilb6lbnzpbuvo,9.057946962065444,0.8888888888888888
test,acffs01m2p3b4uemzjrp51d9m,C. Tzolis,1oyb7oym5nwzny8vxf03szd2h,185,145,136.38543553419893,0.7372185704551294,1094.0,acffs01m2p3b4uemzjrp51d9m,8.614564465801067,0.7837837837837838
test,1i1xcco82x0ppbac6j5z59x49,S. Van der Heyden,8y3iucyxguipljcmf87a11bk9,532,447,438.480735190212,0.8242119082522782,1277.0,1i1xcco82x0ppbac6j5z59x49,8.519264809788012,0.8402255639097744
test,4ujt46jspzihas195g6kyjy8k,L. De Fougerolles,4dtif7outbuivua8umbwegoo5,330,277,268.5382943761532,0.8137524072004643,854.0,4ujt46jspzihas195g6kyjy8k,8.461705623846797,0.8393939393939394
test,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,ecj1gmc7pqcjo4sc9hvghj5u3,130,105,96.80667652263304,0.7446667424817927,628.0,84yhv0iilunn0vllz1r5fe7l5,8.19332347736696,0.8076923076923077
test,5ghpsybqgvquh7yffa117tg8a,A. Sayyadmanesh,2nhn3ikl1ciq34w3hcp883d6p,89,63,55.30268807564101,0.6213785177038316,649.0,5ghpsybqgvquh7yffa117tg8a,7.697311924358992,0.7078651685393258
test,2hr7skflmxmpiiauz04h185ey,B. Nsimba,4dtif7outbuivua8umbwegoo5,115,79,71.76371621176463,0.6240323148849098,396.0,2hr7skflmxmpiiauz04h185ey,7.236283788235369,0.6869565217391305
test,5qc0owkwmgk74qy13ft3kpg5,T. Mohr,5z1b7fuvpqe6vnigvopomvecu,250,181,173.7718129511023,0.6950872518044092,1131.0,5qc0owkwmgk74qy13ft3kpg5,7.228187048897695,0.724
test,ebkhyti8l579bl8amir9zgl5g,J. Romsaas,920raeoumft3q2wmvc296uceo,73,67,60.38544840435649,0.8271979233473492,451.0,ebkhyti8l579bl8amir9zgl5g,6.614551595643512,0.9178082191780822
test,dxcsuw39xzusjsj5e1jw53y6t,M. Verrips,4dtif7outbuivua8umbwegoo5,145,110,103.3966289098291,0.7130801993781317,417.0,dxcsuw39xzusjsj5e1jw53y6t,6.603371090170896,0.7586206896551724
test,6uthi96vr24700st7s7m1so6i,R. Vermant,1oyb7oym5nwzny8vxf03szd2h,53,46,39.49365919444161,0.7451633810272003,317.0,6uthi96vr24700st7s7m1so6i,6.506340805558388,0.8679245283018868
test,3q5uylbjjiaoj3mn2l7p93jyt,K. Mrabti,b7jmo07lqav0wfe2mtlzyspak,249,207,200.61607175534434,0.8056870351620254,553.0,3q5uylbjjiaoj3mn2l7p93jyt,6.383928244655664,0.8313253012048193
test,7rlx4tok9qp2xsj2dykejci96,S. Ujka,547zzwqbiugzphhnrhj3z5k5i,90,63,56.88854278990077,0.6320949198877863,188.0,7rlx4tok9qp2xsj2dykejci96,6.111457210099232,0.7
test,d4ppxjyzxjk3fm4agxpsani8k,L. Agyekum,3ix9om1svhd6obl0mbk1otgop,138,99,92.95617698602372,0.673595485405969,510.0,d4ppxjyzxjk3fm4agxpsani8k,6.043823013976279,0.717391304347826
test,3lraqym3pvhs9rvrpvpxuj1l,D. Foulon,7zibyotq1x1hq6pmgibhr0e6s,185,133,127.01460021883625,0.686565406588304,687.0,3lraqym3pvhs9rvrpvpxuj1l,5.98539978116375,0.7189189189189189
test,8fs5klbsyx06c5ds9s1i3xu96,Hong Hyun-Seok,8y3iucyxguipljcmf87a11bk9,58,50,44.04757352889509,0.7594409229119844,126.0,8fs5klbsyx06c5ds9s1i3xu96,5.952426471104907,0.8620689655172413
test,c066582sb3qfs7c0472rw371m,A. Omgba,8y3iucyxguipljcmf87a11bk9,45,40,34.17262435632259,0.7593916523627243,103.0,c066582sb3qfs7c0472rw371m,5.8273756436774065,0.8888888888888888
test,3zc219xqywme43v3jdwmv44d0,M. Delorge,8y3iucyxguipljcmf87a11bk9,345,292,286.20099235458895,0.8295680937814173,771.0,3zc219xqywme43v3jdwmv44d0,5.799007645411052,0.8463768115942029
test,6ytudq9mcboyfb9xx8ijalg4,O. Adewumi,3ix9om1svhd6obl0mbk1otgop,46,36,30.380095650951713,0.6604368619772112,251.0,6ytudq9mcboyfb9xx8ijalg4,5.619904349048287,0.782608695652174
test,aeue0dvxs088u4ucahccoe1as,I. Sebaoui,2989v3kho9h5jaboe1nr7lx21,187,150,144.43145747585683,0.7723607351650098,861.0,aeue0dvxs088u4ucahccoe1as,5.568542524143169,0.8021390374331551
test,8jc7tw0nw37trgyli0oyz1soa,C. Vanhoutte,ecj1gmc7pqcjo4sc9hvghj5u3,113,89,83.46436780434047,0.7386227239322165,336.0,8jc7tw0nw37trgyli0oyz1soa,5.535632195659531,0.7876106194690266
test,eg2u042cthz9undb4xz0pu8rt,M. Fossey,5z1b7fuvpqe6vnigvopomvecu,52,44,38.585169597049806,0.7420224922509578,518.0,eg2u042cthz9undb4xz0pu8rt,5.414830402950194,0.8461538461538461
test,7swhmqhii6ny7eod10df6dc6h,J. Petris,920raeoumft3q2wmvc296uceo,41,32,26.592522962362764,0.6485981210332381,202.0,7swhmqhii6ny7eod10df6dc6h,5.407477037637236,0.7804878048780488
test,9w0brh9x5ez6yoiinh50g6y5m,T. Hata,2989v3kho9h5jaboe1nr7lx21,230,184,178.70718104761113,0.7769877436852658,1112.0,9w0brh9x5ez6yoiinh50g6y5m,5.2928189523888705,0.8
test,3erz4yrlw2m15mxxocwq31g16,R. Yamamoto,2989v3kho9h5jaboe1nr7lx21,159,128,122.78183901619414,0.772212824001221,1019.0,3erz4yrlw2m15mxxocwq31g16,5.218160983805859,0.8050314465408805
test,a163sw42ovtm9oizqcqibm1w4,B. Fredrick,4dtif7outbuivua8umbwegoo5,160,137,131.88627039657246,0.8242891899785778,416.0,a163sw42ovtm9oizqcqibm1w4,5.113729603427544,0.85625
test,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,8y3iucyxguipljcmf87a11bk9,327,286,280.89149911114606,0.8589954101258289,948.0,5np1ksd9qkmc511ihzvikhy0a,5.108500888853939,0.8746177370030581
test,2961iy0sg9zmy0r6fzbr2dmg9,D. Hrnčár,4dtif7outbuivua8umbwegoo5,40,29,23.928291566277768,0.5982072891569442,177.0,2961iy0sg9zmy0r6fzbr2dmg9,5.0717084337222325,0.725
test,ekzj3gx09w4rua1rnoargytjo,M. Epolo,5z1b7fuvpqe6vnigvopomvecu,130,88,83.16447065806783,0.6397266973697525,653.0,ekzj3gx09w4rua1rnoargytjo,4.8355293419321725,0.676923076923077
test,bsl1uabxlj21ogpvn59kg1ixg,Y. Tsunashima,7zibyotq1x1hq6pmgibhr0e6s,286,246,241.38760336058726,0.8440125991628925,954.0,bsl1uabxlj21ogpvn59kg1ixg,4.6123966394127365,0.8601398601398601
test,48f3zlksc3r230qb78c5emnyt,N. Dussenne,bw9wm8pqfzcchumhiwdt2w15c,220,180,175.5126132745487,0.7977846057934032,947.0,48f3zlksc3r230qb78c5emnyt,4.487386725451302,0.8181818181818182
